dataset,protocol,rank,model,feature_selector,pipeline_id,balanced_accuracy_mean,macro_f1_mean
ecg,group_holdout,1,rf,none,rf+none,0.19472705748966257,0.1863238817172844
ecg,group_holdout,2,svm,none,svm+none,0.18047719087635053,0.16210446078664015
ecg,group_holdout,3,knn,none,knn+none,0.17895408163265308,0.1740001376495573
ecg,loso,1,rf,none,rf+none,0.2013888888888889,0.1800978507344967
ecg,loso,2,knn,none,knn+none,0.19685374149659862,0.1733892401594265
ecg,loso,3,logreg,none,logreg+none,0.17517006802721086,0.11802074754415282
ecg,within_participant,1,rf,none,rf+none,0.21428571428571427,0.1803061224489796
ecg,within_participant,2,knn,none,knn+none,0.21428571428571427,0.17493197278911565
ecg,within_participant,3,gaussian_nb,none,gaussian_nb+none,0.21428571428571427,0.1563718820861678
eeg,group_holdout,1,knn,none,knn+none,0.19141156462585035,0.18228070317234651
eeg,group_holdout,2,mlp,none,mlp+none,0.1814775910364146,0.1673661396964703
eeg,group_holdout,3,svm,none,svm+none,0.17684740562891824,0.14552513357125463
eeg,loso,1,mlp,none,mlp+none,0.24844104308390025,0.19771598857371098
eeg,loso,2,rf,none,rf+none,0.2142857142857143,0.10409775979357261
eeg,loso,3,gaussian_nb,none,gaussian_nb+none,0.19827097505668934,0.1117701174475419
eeg,within_participant,1,mlp,none,mlp+none,0.3071428571428571,0.27741496598639453
eeg,within_participant,2,svm,none,svm+none,0.2857142857142857,0.24999999999999997
eeg,within_participant,3,rf,none,rf+none,0.2785714285714286,0.24292517006802722
fused,group_holdout,1,rf,none,rf+none,0.2173469387755102,0.1907437023343089
fused,group_holdout,2,knn,none,knn+none,0.1773809523809524,0.17266978046997322
fused,group_holdout,3,svm,none,svm+none,0.17380952380952383,0.15276351700382984
fused,loso,1,rf,none,rf+none,0.20634920634920634,0.1295416717411602
fused,loso,2,mlp,none,mlp+none,0.1746031746031746,0.15394620090599168
fused,loso,3,knn,none,knn+none,0.1607142857142857,0.15037438052143934
fused,within_participant,1,logreg,none,logreg+none,0.3,0.2571428571428571
fused,within_participant,2,decision_tree,none,decision_tree+none,0.2571428571428571,0.2369047619047619
fused,within_participant,3,svm,none,svm+none,0.21428571428571427,0.12993982208267923
pupil,group_holdout,1,decision_tree,none,decision_tree+none,0.2259637188208617,0.21537514005934835
pupil,group_holdout,2,mlp,none,mlp+none,0.20753968253968252,0.1444222302482463
pupil,group_holdout,3,svm,none,svm+none,0.19574829931972787,0.15778193953370123
pupil,loso,1,decision_tree,none,decision_tree+none,0.2003968253968254,0.18244654676985503
pupil,loso,2,mlp,none,mlp+none,0.18253968253968256,0.112457881703406
pupil,loso,3,svm,none,svm+none,0.1746031746031746,0.09382643830938073
pupil,within_participant,1,rf,none,rf+none,0.35714285714285715,0.3001360544217687
pupil,within_participant,2,svm,none,svm+none,0.3214285714285714,0.23168934240362812
pupil,within_participant,3,mlp,none,mlp+none,0.30714285714285716,0.2399092970521542
