dataset,feature_index,feature_column
eeg,1,eeg_abs_alpha_central
eeg,2,eeg_abs_alpha_central_delta_base
eeg,3,eeg_abs_alpha_frontal
eeg,4,eeg_abs_alpha_frontal_delta_base
eeg,5,eeg_abs_alpha_global
eeg,6,eeg_abs_alpha_global_delta_base
eeg,7,eeg_abs_alpha_occipital
eeg,8,eeg_abs_alpha_occipital_delta_base
eeg,9,eeg_abs_alpha_parietal
eeg,10,eeg_abs_alpha_parietal_delta_base
eeg,11,eeg_abs_alpha_temporal
eeg,12,eeg_abs_alpha_temporal_delta_base
eeg,13,eeg_abs_beta_central
eeg,14,eeg_abs_beta_central_delta_base
eeg,15,eeg_abs_beta_frontal
eeg,16,eeg_abs_beta_frontal_delta_base
eeg,17,eeg_abs_beta_global
eeg,18,eeg_abs_beta_global_delta_base
eeg,19,eeg_abs_beta_occipital
eeg,20,eeg_abs_beta_occipital_delta_base
eeg,21,eeg_abs_beta_parietal
eeg,22,eeg_abs_beta_parietal_delta_base
eeg,23,eeg_abs_beta_temporal
eeg,24,eeg_abs_beta_temporal_delta_base
eeg,25,eeg_abs_delta_central
eeg,26,eeg_abs_delta_frontal
eeg,27,eeg_abs_delta_global
eeg,28,eeg_abs_delta_occipital
eeg,29,eeg_abs_delta_parietal
eeg,30,eeg_abs_delta_temporal
eeg,31,eeg_abs_highbeta_central
eeg,32,eeg_abs_highbeta_frontal
eeg,33,eeg_abs_highbeta_global
eeg,34,eeg_abs_highbeta_occipital
eeg,35,eeg_abs_highbeta_parietal
eeg,36,eeg_abs_highbeta_temporal
eeg,37,eeg_abs_theta_central
eeg,38,eeg_abs_theta_central_delta_base
eeg,39,eeg_abs_theta_frontal
eeg,40,eeg_abs_theta_frontal_delta_base
eeg,41,eeg_abs_theta_global
eeg,42,eeg_abs_theta_global_delta_base
eeg,43,eeg_abs_theta_occipital
eeg,44,eeg_abs_theta_occipital_delta_base
eeg,45,eeg_abs_theta_parietal
eeg,46,eeg_abs_theta_parietal_delta_base
eeg,47,eeg_abs_theta_temporal
eeg,48,eeg_abs_theta_temporal_delta_base
eeg,49,eeg_frontal_alpha_asymmetry_f4_minus_f3
eeg,50,eeg_fz_theta_abs
eeg,51,eeg_fz_theta_rel
eeg,52,eeg_hjorth_activity_central
eeg,53,eeg_hjorth_activity_frontal
eeg,54,eeg_hjorth_activity_global
eeg,55,eeg_hjorth_activity_occipital
eeg,56,eeg_hjorth_activity_parietal
eeg,57,eeg_hjorth_activity_temporal
eeg,58,eeg_hjorth_complexity_central
eeg,59,eeg_hjorth_complexity_frontal
eeg,60,eeg_hjorth_complexity_global
eeg,61,eeg_hjorth_complexity_occipital
eeg,62,eeg_hjorth_complexity_parietal
eeg,63,eeg_hjorth_complexity_temporal
eeg,64,eeg_hjorth_mobility_central
eeg,65,eeg_hjorth_mobility_frontal
eeg,66,eeg_hjorth_mobility_global
eeg,67,eeg_hjorth_mobility_occipital
eeg,68,eeg_hjorth_mobility_parietal
eeg,69,eeg_hjorth_mobility_temporal
eeg,70,eeg_line_length_central
eeg,71,eeg_line_length_frontal
eeg,72,eeg_line_length_global
eeg,73,eeg_line_length_occipital
eeg,74,eeg_line_length_parietal
eeg,75,eeg_line_length_temporal
eeg,76,eeg_ratio_alpha_beta_central
eeg,77,eeg_ratio_alpha_beta_frontal
eeg,78,eeg_ratio_alpha_beta_global
eeg,79,eeg_ratio_alpha_beta_occipital
eeg,80,eeg_ratio_alpha_beta_parietal
eeg,81,eeg_ratio_alpha_beta_temporal
eeg,82,eeg_ratio_theta_alpha_central
eeg,83,eeg_ratio_theta_alpha_frontal
eeg,84,eeg_ratio_theta_alpha_global
eeg,85,eeg_ratio_theta_alpha_occipital
eeg,86,eeg_ratio_theta_alpha_parietal
eeg,87,eeg_ratio_theta_alpha_temporal
eeg,88,eeg_ratio_theta_beta_central
eeg,89,eeg_ratio_theta_beta_frontal
eeg,90,eeg_ratio_theta_beta_global
eeg,91,eeg_ratio_theta_beta_occipital
eeg,92,eeg_ratio_theta_beta_parietal
eeg,93,eeg_ratio_theta_beta_temporal
eeg,94,eeg_rel_alpha_central
eeg,95,eeg_rel_alpha_frontal
eeg,96,eeg_rel_alpha_global
eeg,97,eeg_rel_alpha_occipital
eeg,98,eeg_rel_alpha_parietal
eeg,99,eeg_rel_alpha_temporal
eeg,100,eeg_rel_beta_central
eeg,101,eeg_rel_beta_frontal
eeg,102,eeg_rel_beta_global
eeg,103,eeg_rel_beta_occipital
eeg,104,eeg_rel_beta_parietal
eeg,105,eeg_rel_beta_temporal
eeg,106,eeg_rel_delta_central
eeg,107,eeg_rel_delta_frontal
eeg,108,eeg_rel_delta_global
eeg,109,eeg_rel_delta_occipital
eeg,110,eeg_rel_delta_parietal
eeg,111,eeg_rel_delta_temporal
eeg,112,eeg_rel_highbeta_central
eeg,113,eeg_rel_highbeta_frontal
eeg,114,eeg_rel_highbeta_global
eeg,115,eeg_rel_highbeta_occipital
eeg,116,eeg_rel_highbeta_parietal
eeg,117,eeg_rel_highbeta_temporal
eeg,118,eeg_rel_theta_central
eeg,119,eeg_rel_theta_frontal
eeg,120,eeg_rel_theta_global
eeg,121,eeg_rel_theta_occipital
eeg,122,eeg_rel_theta_parietal
eeg,123,eeg_rel_theta_temporal
eeg,124,eeg_rms_central
eeg,125,eeg_rms_frontal
eeg,126,eeg_rms_global
eeg,127,eeg_rms_occipital
eeg,128,eeg_rms_parietal
eeg,129,eeg_rms_temporal
eeg,130,eeg_spectral_entropy_central
eeg,131,eeg_spectral_entropy_frontal
eeg,132,eeg_spectral_entropy_global
eeg,133,eeg_spectral_entropy_occipital
eeg,134,eeg_spectral_entropy_parietal
eeg,135,eeg_spectral_entropy_temporal
eeg,136,eeg_var_central
eeg,137,eeg_var_frontal
eeg,138,eeg_var_global
eeg,139,eeg_var_occipital
eeg,140,eeg_var_parietal
eeg,141,eeg_var_temporal
