dataset,feature_index,feature_column
pupil,1,gaze_path_length
pupil,2,gaze_x_mean
pupil,3,gaze_x_std
pupil,4,gaze_y_mean
pupil,5,gaze_y_std
pupil,6,pupil_auc_above_mean
pupil,7,pupil_conf_mean
pupil,8,pupil_iqr
pupil,9,pupil_low_conf_ratio
pupil,10,pupil_max
pupil,11,pupil_mean
pupil,12,pupil_mean_delta_base
pupil,13,pupil_median
pupil,14,pupil_min
pupil,15,pupil_p10
pupil,16,pupil_p90
pupil,17,pupil_peak_dilation
pupil,18,pupil_peak_dilation_delta_base
pupil,19,pupil_peak_time_s
pupil,20,pupil_slope_per_s
pupil,21,pupil_std
pupil,22,pupil_tepr_latency_s
pupil,23,pupil_valid_coverage_ratio
pupil,24,pupil_vel_max_abs
pupil,25,pupil_vel_mean_abs
