scenario,dataset,weighted_ba,weighted_macro_f1
all_bins,ecg,0.1844819560477252,0.14745494328101294
all_bins,eeg,0.24327152629759385,0.20624278022723302
all_bins,fused,0.20158383081123607,0.15731561134355163
all_bins,pupil,0.2476248322458235,0.18564480894470528
omit_easiest,ecg,0.2105311370579978,0.1665285968735426
omit_easiest,eeg,0.233599789121998,0.2014589100527462
omit_easiest,fused,0.2186291977108304,0.17519164270976723
omit_easiest,pupil,0.2685455134434726,0.21914732012636634
three_level_merged,ecg,0.33676301605298203,0.3150953539348757
three_level_merged,eeg,0.4637642848144549,0.4391661540615309
three_level_merged,fused,0.49021177253970377,0.44011103891554676
three_level_merged,pupil,0.5046573655917393,0.4539350525528159
